Date,SPY
2021-01-04,346.2312316894531
2021-01-05,348.6158142089844
2021-01-06,350.70013427734375
2021-01-07,355.9104919433594
2021-01-08,357.9384460449219
2021-01-11,355.525634765625
2021-01-12,355.600830078125
2021-01-13,356.558349609375
2021-01-14,355.30975341796875
2021-01-15,352.7185363769531
2021-01-19,355.4880676269531
2021-01-20,360.40753173828125
2021-01-21,360.7361145019531
2021-01-22,359.4593811035156
2021-01-25,360.876953125
2021-01-26,360.3136901855469
2021-01-27,351.5074462890625
2021-01-28,354.530517578125
2021-01-29,347.43292236328125
2021-02-01,353.21612548828125
2021-02-02,358.2107238769531
2021-02-03,358.49237060546875
2021-02-04,362.5668640136719
2021-02-05,363.993896484375
2021-02-08,366.62261962890625
2021-02-09,366.3785095214844
2021-02-10,366.2189025878906
2021-02-11,366.81036376953125
2021-02-12,368.62237548828125
2021-02-16,368.3031921386719
2021-02-17,368.3876647949219
2021-02-18,366.8197326660156
2021-02-19,366.1719665527344
2021-02-22,363.35552978515625
2021-02-23,363.7967834472656
2021-02-24,367.8055419921875
2021-02-25,358.9430236816406
2021-02-26,357.0934143066406
2021-03-01,365.7495422363281
2021-03-02,362.8955078125
2021-03-03,358.0887145996094
2021-03-04,353.65740966796875
2021-03-05,360.1634216308594
2021-03-08,358.3703308105469
2021-03-09,363.4869384765625
2021-03-10,365.7495422363281
2021-03-11,369.4578552246094
2021-03-12,369.9554748535156
2021-03-15,372.1617126464844
2021-03-16,371.6923522949219
2021-03-17,372.959716796875
2021-03-18,367.5332946777344
2021-03-19,366.853271484375
2021-03-22,369.7825927734375
2021-03-23,366.8721008300781
2021-03-24,365.0071105957031
2021-03-25,367.06048583984375
2021-03-26,372.9756774902344
2021-03-29,372.78729248046875
2021-03-30,371.7982177734375
2021-03-31,373.3052673339844
2021-04-01,377.33660888671875
2021-04-05,382.7525939941406
2021-04-06,382.5264892578125
2021-04-07,382.9692077636719
2021-04-08,384.7870788574219
2021-04-09,387.5846252441406
2021-04-12,387.72589111328125
2021-04-13,388.8749084472656
2021-04-14,387.546875
2021-04-15,391.7101745605469
2021-04-16,393.01934814453125
2021-04-19,391.08843994140625
2021-04-20,388.22503662109375
2021-04-21,391.8985595703125
2021-04-22,388.31927490234375
2021-04-23,392.529541015625
2021-04-26,393.34906005859375
2021-04-27,393.2642822265625
2021-04-28,393.1512145996094
2021-04-29,395.65673828125
2021-04-30,393.05706787109375
2021-05-03,393.9047546386719
2021-05-04,391.47467041015625
2021-05-05,391.5971374511719
2021-05-06,394.72418212890625
2021-05-07,397.5970764160156
2021-05-10,393.6598205566406
2021-05-11,390.14654541015625
2021-05-12,381.8577880859375
2021-05-13,386.44482421875
2021-05-14,392.37884521484375
2021-05-17,391.38043212890625
2021-05-18,388.0084533691406
2021-05-19,386.9911193847656
2021-05-20,391.1544189453125
2021-05-21,390.8341369628906
2021-05-24,394.8183898925781
2021-05-25,393.9424743652344
2021-05-26,394.72418212890625
2021-05-27,394.931396484375
2021-05-28,395.63787841796875
2021-06-01,395.28936767578125
2021-06-02,395.9110107421875
2021-06-03,394.4416198730469
2021-06-04,398.0491638183594
2021-06-07,397.6629638671875
2021-06-08,397.7477111816406
2021-06-09,397.15435791015625
2021-06-10,399.0004577636719
2021-06-11,399.65985107421875
2021-06-14,400.55462646484375
2021-06-15,399.8199157714844
2021-06-16,397.58758544921875
2021-06-17,397.4556884765625
2021-06-18,392.0939025878906
2021-06-21,397.7071228027344
2021-06-22,399.8332824707031
2021-06-23,399.3514099121094
2021-06-24,401.7138977050781
2021-06-25,403.1407775878906
2021-06-28,403.9534912109375
2021-06-29,404.17083740234375
2021-06-30,404.5110168457031
2021-07-01,406.7505798339844
2021-07-02,409.8596496582031
2021-07-06,409.1130676269531
2021-07-07,410.5589294433594
2021-07-08,407.21368408203125
2021-07-09,411.560546875
2021-07-12,413.0348205566406
2021-07-13,411.6267395019531
2021-07-14,412.2409973144531
2021-07-15,410.8330383300781
2021-07-16,407.6105651855469
2021-07-19,401.59100341796875
2021-07-20,407.3459777832031
2021-07-21,410.64398193359375
2021-07-22,411.50390625
2021-07-23,415.73748779296875
2021-07-26,416.7580261230469
2021-07-27,414.85870361328125
2021-07-28,414.68853759765625
2021-07-29,416.4083251953125
2021-07-30,414.3861083984375
2021-08-02,413.5166931152344
2021-08-03,416.8808288574219
2021-08-04,414.83026123046875
2021-08-05,417.45733642578125
2021-08-06,418.14715576171875
2021-08-09,417.80694580078125
2021-08-10,418.32672119140625
2021-08-11,419.36627197265625
2021-08-12,420.6230773925781
2021-08-13,421.38848876953125
2021-08-16,422.3807373046875
2021-08-17,419.61187744140625
2021-08-18,415.0191955566406
2021-08-19,415.6617736816406
2021-08-20,418.96929931640625
2021-08-23,422.6547546386719
2021-08-24,423.3257141113281
2021-08-25,424.2140197753906
2021-08-26,421.7097473144531
2021-08-27,425.4802551269531
2021-08-30,427.35137939453125
2021-08-31,426.7181701660156
2021-09-01,426.9449768066406
2021-09-02,428.258544921875
2021-09-03,428.154541015625
2021-09-07,426.6236572265625
2021-09-08,426.1039733886719
2021-09-09,424.2801513671875
2021-09-10,420.934814453125
2021-09-13,422.0121765136719
2021-09-14,419.7347106933594
2021-09-15,423.2406311035156
2021-09-16,422.5697326660156
2021-09-17,418.45343017578125
2021-09-20,411.4760437011719
2021-09-21,411.0873718261719
2021-09-22,415.0974426269531
2021-09-23,420.1408996582031
2021-09-24,420.8330078125
2021-09-27,419.6290588378906
2021-09-28,411.1726989746094
2021-09-29,411.8647766113281
