Date,IVV
2021-01-04,346.9907531738281
2021-01-05,349.28704833984375
2021-01-06,351.3958435058594
2021-01-07,356.59759521484375
2021-01-08,358.6315002441406
2021-01-11,356.28839111328125
2021-01-12,356.3446044921875
2021-01-13,357.24432373046875
2021-01-14,356.0072326660156
2021-01-15,353.4391174316406
2021-01-19,356.2039794921875
2021-01-20,361.1058349609375
2021-01-21,361.4244689941406
2021-01-22,360.1966552734375
2021-01-25,361.63067626953125
2021-01-26,361.0964660644531
2021-01-27,352.2862548828125
2021-01-28,355.2667541503906
2021-01-29,348.2091979980469
2021-02-01,353.90765380859375
2021-02-02,358.9313659667969
2021-02-03,359.2126159667969
2021-02-04,363.2802734375
2021-02-05,364.7049255371094
2021-02-08,367.4510498046875
2021-02-09,367.1417541503906
2021-02-10,366.9918212890625
2021-02-11,367.6103820800781
2021-02-12,369.44744873046875
2021-02-16,369.1567687988281
2021-02-17,369.2037048339844
2021-02-18,367.63848876953125
2021-02-19,366.9449157714844
2021-02-22,364.1519470214844
2021-02-23,364.53619384765625
2021-02-24,368.538330078125
2021-02-25,359.699951171875
2021-02-26,357.81610107421875
2021-03-01,366.4950866699219
2021-03-02,363.6739807128906
2021-03-03,358.8189392089844
2021-03-04,354.3763732910156
2021-03-05,360.9090270996094
2021-03-08,359.1469421386719
2021-03-09,364.2080993652344
2021-03-10,366.4388122558594
2021-03-11,370.2066345214844
2021-03-12,370.78765869140625
2021-03-15,373.037109375
2021-03-16,372.5121765136719
2021-03-17,373.7306213378906
2021-03-18,368.2758483886719
2021-03-19,367.5916442871094
2021-03-22,370.49713134765625
2021-03-23,367.6103820800781
2021-03-24,365.7265319824219
2021-03-25,367.8150939941406
2021-03-26,373.7679443359375
2021-03-29,373.5799560546875
2021-03-30,372.6582946777344
2021-03-31,374.1159362792969
2021-04-01,378.1220703125
2021-04-05,383.54833984375
2021-04-06,383.31329345703125
2021-04-07,383.79278564453125
2021-04-08,385.57958984375
2021-04-09,388.3726501464844
2021-04-12,388.53253173828125
2021-04-13,389.6704406738281
2021-04-14,388.3726501464844
2021-04-15,392.5481262207031
2021-04-16,393.9305114746094
2021-04-19,392.00262451171875
2021-04-20,389.1531677246094
2021-04-21,392.7925720214844
2021-04-22,389.30364990234375
2021-04-23,393.3850402832031
2021-04-26,394.26904296875
2021-04-27,394.14678955078125
2021-04-28,393.9963073730469
2021-04-29,396.4883728027344
2021-04-30,393.92108154296875
2021-05-03,394.7674865722656
2021-05-04,392.369384765625
2021-05-05,392.42584228515625
2021-05-06,395.6138000488281
2021-05-07,398.48211669921875
2021-05-10,394.6075744628906
2021-05-11,391.0904235839844
2021-05-12,382.7301940917969
2021-05-13,387.2723388671875
2021-05-14,393.2534484863281
2021-05-17,392.3129577636719
2021-05-18,388.9368896484375
2021-05-19,387.8835754394531
2021-05-20,391.9838562011719
2021-05-21,391.7580871582031
2021-05-24,395.698486328125
2021-05-25,394.8427734375
2021-05-26,395.56683349609375
2021-05-27,395.77374267578125
2021-05-28,396.5260314941406
2021-06-01,396.2156677246094
2021-06-02,396.8739929199219
2021-06-03,395.3598937988281
2021-06-04,398.961669921875
2021-06-07,398.6231994628906
2021-06-08,398.6419982910156
2021-06-09,398.0025329589844
2021-06-10,399.93121337890625
2021-06-11,400.5914306640625
2021-06-14,401.5534362792969
2021-06-15,400.77056884765625
2021-06-16,398.5541687011719
2021-06-17,398.4316101074219
2021-06-18,393.0745849609375
2021-06-21,398.6202697753906
2021-06-22,400.5158996582031
2021-06-23,400.2801513671875
2021-06-24,402.60028076171875
2021-06-25,404.0810546875
2021-06-28,404.93939208984375
2021-06-29,405.1185607910156
2021-06-30,405.4769287109375
2021-07-01,407.7688293457031
2021-07-02,410.8717041015625
2021-07-06,409.8247985839844
2021-07-07,411.50360107421875
2021-07-08,408.2026062011719
2021-07-09,412.5410461425781
2021-07-12,414.0689392089844
2021-07-13,412.6164855957031
2021-07-14,413.16357421875
2021-07-15,411.74884033203125
2021-07-16,408.6364440917969
2021-07-19,402.53424072265625
2021-07-20,408.372314453125
2021-07-21,411.68280029296875
2021-07-22,412.5788269042969
2021-07-23,416.643798828125
2021-07-26,417.7566833496094
2021-07-27,415.8514404296875
2021-07-28,415.6250915527344
2021-07-29,417.4737854003906
2021-07-30,415.36102294921875
2021-08-02,414.52166748046875
2021-08-03,417.8320617675781
2021-08-04,415.842041015625
2021-08-05,418.4263000488281
2021-08-06,419.1524963378906
2021-08-09,418.8601989746094
2021-08-10,419.3505859375
2021-08-11,420.34088134765625
2021-08-12,421.32171630859375
2021-08-13,422.3874816894531
2021-08-16,423.47210693359375
2021-08-17,420.5954895019531
2021-08-18,416.0589599609375
2021-08-19,416.6720886230469
2021-08-20,419.99188232421875
2021-08-23,423.6512756347656
2021-08-24,424.386962890625
2021-08-25,425.2735290527344
2021-08-26,422.7647399902344
2021-08-27,426.4808044433594
2021-08-30,428.3765563964844
2021-08-31,427.914306640625
2021-09-01,428.10296630859375
2021-09-02,429.3856506347656
2021-09-03,429.197021484375
2021-09-07,427.8105773925781
2021-09-08,427.2447204589844
2021-09-09,425.33953857421875
2021-09-10,422.0951232910156
2021-09-13,423.0760498046875
2021-09-14,420.8218688964844
2021-09-15,424.3209533691406
2021-09-16,423.5287170410156
2021-09-17,419.4448547363281
2021-09-20,412.3713684082031
2021-09-21,412.1355285644531
2021-09-22,416.20050048828125
2021-09-23,421.1897277832031
2021-09-24,421.9972839355469
2021-09-27,420.67181396484375
2021-09-28,412.2743835449219
2021-09-29,412.9844055175781
